"season","time_period","n_hours","wind_speed_mean","wind_speed_sd","wave_height_mean","wave_height_sd","pct_ctv","pct_calm","pct_rough","pct_extreme"
"Spring","Night (00-06)",1656,6.99,2.9,1.27,0.74,70,70,20.9,9.1
"Spring","Morning (06-12)",1656,6.92,2.86,1.24,0.73,72.6,72.6,19.4,8
"Spring","Afternoon (12-18)",1656,7.23,2.96,1.26,0.75,69.1,69.1,21.7,9.2
"Spring","Evening (18-24)",1656,7.32,2.86,1.31,0.75,65.9,65.9,24.7,9.4
"Summer","Night (00-06)",1656,6,2.92,0.91,0.55,86.1,86.1,9.6,4.3
"Summer","Morning (06-12)",1656,5.76,3.02,0.9,0.57,87.3,87.3,8.8,3.9
"Summer","Afternoon (12-18)",1656,6.13,3.06,0.92,0.58,84.4,84.4,11.1,4.5
"Summer","Evening (18-24)",1656,6.21,2.92,0.93,0.56,83.2,83.2,12.7,4.2
"Fall","Night (00-06)",1638,6.63,3.05,1.33,0.75,65.1,65.1,25,10
"Fall","Morning (06-12)",1638,6.83,3.06,1.34,0.75,64.3,64.3,26.2,9.5
"Fall","Afternoon (12-18)",1638,6.55,3.1,1.35,0.73,64,64,26.2,9.8
"Fall","Evening (18-24)",1638,6.7,3.09,1.33,0.72,65.8,65.8,25.2,9.1
"Winter","Night (00-06)",1626,7.66,3.03,1.57,0.75,51.4,51.4,34.6,14
"Winter","Morning (06-12)",1626,7.67,3.04,1.57,0.76,50.4,50.4,34.8,14.8
"Winter","Afternoon (12-18)",1626,6.99,3.29,1.54,0.74,55.8,55.8,30.8,13.4
"Winter","Evening (18-24)",1626,7.28,3.25,1.54,0.74,56,56,31.1,13
