mean,std,ci_95_lo,ci_95_hi,n_weeks,strategy,year
41915117.44536626,37465057.83180757,32970325.78213652,53323801.554576926,52,S1_NoWeather,2023
99601096.37995356,46637579.13117288,88183080.91070095,112250124.27428728,52,S1_NoWeather,2024
114164081.34807469,48037111.250307456,100523557.04473914,126733212.56986251,52,S1_NoWeather,2025
93405737.51814961,88793113.28780477,71441500.68040186,119846810.0819753,52,S2_WeatherCTV,2023
233709432.3379553,94742377.13452193,211568500.8757134,259148818.60191196,52,S2_WeatherCTV,2024
224819076.78730676,103077836.31440105,199149184.57492003,251036840.33902344,52,S2_WeatherCTV,2025
96939659.057874,78999036.9086114,77154450.56631827,119223935.60102496,52,S3_MultiPort,2023
232424524.63287306,93853401.0781127,208141800.7855376,258085055.24988765,52,S3_MultiPort,2024
224228132.73387247,101181765.03999624,198041427.99595475,249437038.39420417,52,S3_MultiPort,2025
212001081.67218372,82011424.46642548,190563092.29774374,236485536.01803172,52,HMDP_CBM,2023
255784010.38956264,89152258.11408104,233561921.25118428,277962959.9845819,52,HMDP_CBM,2024
239412264.4665067,106303162.77944699,212784852.91081858,265918990.0286435,52,HMDP_CBM,2025
